商品名,サイズ,入り数
パンケーキ,大,14
あんサンド。, - ,24
パンケーキ,小,24
ベイクドミルフィーネ,小,28
ねころん,小,1
赤富士小山クランチ, - ,24
富士山小山クランチ, - ,24
こころかさね,大,16
富士山ラングドゥール,大,18
ボクのイチオシ,小,32
チーズバトン, - ,28
ヨゾラノオクリモノ,小,32
ヨゾラノオクリモノ,大,18
パンケーキ,4個入,28
佐渡牛乳タルトクッキー, - ,24
富士山ラングドゥール,小,28
にゃんこ三兄弟, - ,24
スイートクッキー,小,1
ポテくまくんのイチオシ, - ,32
ペンちゃんのイチオシ,小,32
スノーフォレストリー,小,1
ショートクランチ, - ,28
ベイクドミルフィーネ,大,18
ベコのイチオシ, - ,32
さがラングドシャ,大,15
さがラングドシャ,小,24
ストロベリーフィーユ, - ,24
しまねっこ イチオシ, - ,32
カカオフィーユ,小,24
カカオフィーユ,大,16
フロランタン, - ,28
もも太郎ラングドシャ,大,15
もも太郎ラングドシャ,小,24
純白樹のほとり,小,28
純白樹のほとり,大,18
岩手ミルク倶楽部,大,20
岩手ミルク倶楽部,小,28
アドベンチャー, - ,24
ショコラマルシェ（苺）, - ,24
会津ピーナッツタルト, - ,24
日光の切り株, - ,24
アーモンドフィーユ,大,1
アーモンドフィーユ,小,1
森のおもてなし, - ,36
