category,item_name,product_name
化粧箱,パンケーキ 小,パンケーキ 小
化粧箱,パンケーキ 大,パンケーキ 大
トレイ,パンケーキ 6入,パンケーキ 小
トレイ,パンケーキ 10入,パンケーキ 大
ダンボール,パンケーキ 24入,パンケーキ 小
ダンボール,パンケーキ 14入,パンケーキ 大
トレイ,ショート8個入,INDIGO
トレイ,ショート8個入,ショートクランチ8個入
トレイ,ラテアート 小,ヨゾラノオクリモノ 小
ダンボール,ボクのイチオシ 32入,ボクのイチオシ 小
ダンボール,ボクのイチオシ 32入,ベコのイチオシ
ダンボール,ボクのイチオシ 32入,しまねっこ イチオシ
ダンボール,ボクのイチオシ 32入,ヨゾラノオクリモノ 小
ダンボール,ボクのイチオシ 32入,ペンちゃんのイチオシ 小
ダンボール,ボクのイチオシ 18入,ボクのイチオシ 大
ダンボール,ボクのイチオシ 18入,ペンちゃんのイチオシ 大
ダンボール,ボクのイチオシ 18入,ヨゾラノオクリモノ 大
化粧箱,ショート8個入 １色箱,ショートクランチ8個入
化粧箱,HTBベイクドミルフィーネ,HTBベイクドミルフィーネ
化粧箱,富士山ラングドゥール 大,富士山ラングドゥール 大
化粧箱,富士山ラングドゥール 小,富士山ラングドゥール 小
化粧箱,にゃんこ白箱,にゃんこ三兄弟
ダンボール,M-10　18入,富士山ラングドゥ―ル大
化粧箱,富士山小山クランチ,富士山小山クランチ
化粧箱,赤富士小山クランチ,赤富士小山クランチ
化粧箱,もも太郎大,もも太郎大
トレイ,もも太郎大,M-15
ダンボール,もも太郎大,M-15
トレイ,MR-6,純白樹のほとり 小
ダンボール,チーズバトン,純白樹のほとり 小
トレイ,M-10,純白樹のほとり 大
ダンボール,M-10　18入,純白樹のほとり 大
化粧箱,MR-6,MR-6 チーズ1色箱
ダンボール,パンケーキ４入り,パンケーキ４入り
ダンボール,パンケーキ４入り,パンケーキ４入岩手
包装紙,アーモンドフィーユ小,アーモンドフィーユ小
化粧箱,チーズバトン,チーズバトン
トレイ,MR-6,チーズバトン
ダンボール,にゃんこ三兄弟24,にゃんこ三兄弟小
ダンボール,富士山クランチ,富士山クランチ青赤
化粧箱,純白樹のほとり小,純白樹のほとり小
化粧箱,純白樹のほとり大,純白樹のほとり大
トレイ,パンケーキ４個入,パンケーキ４個入
包装紙,アーモンドフィーユ大,アーモンドフィーユ大
トレイ,ショート8個入,アニマルクラフト
トレイ,ショート８個入,アクアクラフト
トレイ,MR-6,富士山ラング小
化粧箱,ボクのイチオシ小,ボクのイチオシ小
化粧箱,ペンちゃんのイチオシ小,ペンちゃんのイチオシ小
化粧箱,佐渡牛乳タルトクッキー,佐渡牛乳タルトクッキー
トレイ,新チーズタイム,佐渡牛乳タルトクッキー
トレイ,新チーズタイム,会津ピーナッツタルト
トレイ,新チーズタイム,日光の切り株
トレイ,にゃんこ三兄弟小,にゃんこ三兄弟小
トレイ,ベイクドミルフィーネ小,ベイクドミルフィーネ小
化粧箱,日光の切り株,日光の切り株
化粧箱,フロランタン,フロランタン
ダンボール,チーズバトン,MR-6
ダンボール,チーズバトン,チーズバトン
ダンボール,チーズバトン,富士山ラング 小
ダンボール,ポエム24,佐渡牛乳タルトクッキー
ダンボール,ポエム24,日光の切り株
ダンボール,ポエム24,会津ピーナッツタルト
ダンボール,ショート28入り,ショートクランチ８入
ダンボール,ショート28入,ショートクランチ８入
化粧箱,ベイクドミルフィーネ小,ベイクドミルフィーネ小
